mofd_label,region,totfoodinsec,weighted_count,percentage
2025m05,Maluku,1,784900.80078125,23.70081965129119
2025m05,Maluku,2,21833.287109375,0.6592766877790133
2025m05,Maluku,3,338705.96875,10.227546044250877
2025m05,Maluku,4,150440.341796875,4.542687949429232
2025m05,Maluku,5,101598.92578125,3.0678753471897946
2025m05,Maluku,6,101921.1015625,3.0776037486385124
2025m05,Maluku,8,78848.6474609375,2.380909245295499
2025m05,Nusa Tenggara,0,8473939.2109375,52.408906897362215
2025m05,Nusa Tenggara,1,3193428.9731445313,19.750451067769077
2025m05,Nusa Tenggara,2,971518.880859375,6.008568306729154
2025m05,Nusa Tenggara,3,1215540.3974609375,7.5177720697225805
2025m05,Nusa Tenggara,4,183891.5908203125,1.1373172526503588
2025m05,Nusa Tenggara,5,673345.61328125,4.164451346388656
2025m05,Nusa Tenggara,6,785197.23828125,4.856221874241562
2025m05,Nusa Tenggara,7,286653.376953125,1.7728697091855514
2025m05,Nusa Tenggara,8,385376.0625,2.383441475950837
2025m05,Papua,0,3081326.153564453,64.24579363638036
2025m05,Papua,1,490652.94384765625,10.23013670300828
2025m05,Papua,2,137660.9375,2.87023695047174
2025m05,Papua,3,415565.7509765625,8.664565238802528
2025m05,Papua,4,541285.9296875,11.285836813072052
2025m05,Papua,5,23041.958984375,0.48042591667085965
2025m05,Papua,6,21003.591796875,0.43792586599241895
2025m05,Papua,8,85615.102783203125,1.78507887560177
2025m05,Sulawesi,0,16791750.83154297,81.98177541446469
2025m05,Sulawesi,1,1005067.5446777344,4.907005978754516
2025m05,Sulawesi,2,642728.3122558594,3.1379698684485544
2025m05,Sulawesi,3,804878.88623046875,3.9296319215765463
2025m05,Sulawesi,4,398814.548828125,1.9471182667045364
2025m05,Sulawesi,5,530407.7265625,2.5895910172428405
2025m05,Sulawesi,6,71948.390625,0.351271100960526
2025m05,Sulawesi,7,47298.6533203125,0.2309245541345479
2025m05,Sulawesi,8,189402.234375,0.9247118777132458
2025m05,Sumatra,0,39017111.67871094,61.78674821656455
2025m05,Sumatra,1,8174835.471191406,12.945512346726119
2025m05,Sumatra,2,5670479.66015625,8.979662613529472
2025m05,Sumatra,3,4662955.873046875,7.384167307035702
2025m05,Sumatra,4,1987709.900390625,3.1476991980936333
2025m05,Sumatra,5,1858482.74609375,2.943057560059704
2025m05,Sumatra,6,1106146.5302734375,1.7516723872188327
2025m05,Sumatra,7,408876.77734375,0.6474894067344059
2025m05,Sumatra,8,261427.12060546875,0.41399096403758234
2025m06,Java,0,115050465.0288086,69.70982772855353
2025m06,Java,1,19807121.64453125,12.001264291222444
2025m06,Java,2,13494015.447265625,8.176112038832564
2025m06,Java,3,6496681.9921875,3.936382024785254
2025m06,Java,4,3267140.9296875,1.9795820148696737
2025m06,Java,5,1396895.4609375,0.8463880777219653
2025m06,Java,6,1077534.875,0.6528854141436956
2025m06,Java,7,3227957.625,1.9558405947987763
2025m06,Java,8,1224145.609375,0.7417178150720954
2025m06,Kalimantan,0,12297886.106933594,63.233662234667996
2025m06,Kalimantan,1,5471258.913330078,28.132293234434247
2025m06,Kalimantan,2,422797.4678955078,2.173953478354635
2025m06,Kalimantan,3,1071302.05078125,5.508454984976265
2025m06,Kalimantan,4,54124.87890625,0.27830102519167854
2025m06,Kalimantan,6,49614.74072265625,0.25511065311852577
2025m06,Kalimantan,8,81337.625,0.4182243892566455
2025m06,Maluku,0,987892.73974609375,26.180088036633435
2025m06,Maluku,1,1817210.5126953125,48.15779010147056
2025m06,Maluku,2,445332.0654296875,11.801719163845208
2025m06,Maluku,3,223964.0234375,5.935257558567931
2025m06,Maluku,5,172209.546875,4.563715185410724
2025m06,Maluku,6,33761.9736328125,0.8947240995259305
2025m06,Maluku,8,93079.931640625,2.46670585454621
2025m06,Nusa Tenggara,0,9257599.820800781,57.69829426874509
2025m06,Nusa Tenggara,1,737943.09619140625,4.599254530528802
2025m06,Nusa Tenggara,2,2782934.07421875,17.344727818543987
2025m06,Nusa Tenggara,3,773484.609375,4.820768176194909
2025m06,Nusa Tenggara,4,449899.580078125,2.8040138767293468
2025m06,Nusa Tenggara,5,110285.91796875,0.6873605979772405
2025m06,Nusa Tenggara,6,632203.69921875,3.940230273656113
2025m06,Nusa Tenggara,7,913997.4560546875,5.696519097945423
2025m06,Nusa Tenggara,8,386493.171875,2.4088313596790876
2025m06,Papua,0,3927368.107421875,80.85214482172417
2025m06,Papua,1,633511.763671875,13.042012732615552
